CalcID	UnitID	Ordinal	ShortName	FullName	Unit	FriendlyName	Min	Max	Seasave	DatCnv	ASCII_IN
0	36	0	accM	Acceleration [m/s^2]	m/s^2	acc M	-5.000000	5.000000	yes	yes	yes
0	20	0	accF	Acceleration [ft/s^2]	ft/s^2	acc F	-15.000000	15.000000	yes	yes	yes
1	29	0	altM	Altimeter [m]	m	alt M	0.000000	100.000000	yes	yes	yes
1	13	0	altF	Altimeter [ft]	ft	alt F	0.000000	100.000000	yes	yes	yes
2	33	0	avgsvCM	Average Sound Velocity [Chen-Millero, m/s]	Chen-Millero, m/s	avgsv-C M	1400.000000	1600.000000	yes	yes	yes
2	17	0	avgsvCF	Average Sound Velocity [Chen-Millero, ft/s]	Chen-Millero, ft/s	avgsv-C F	4550.000000	5200.000000	yes	yes	yes
2	34	0	avgsvDM	Average Sound Velocity [Delgrosso, m/s]	Delgrosso, m/s	avgsv-D M	1400.000000	1600.000000	yes	yes	yes
2	18	0	avgsvDF	Average Sound Velocity [Delgrosso, ft/s]	Delgrosso, ft/s	avgsv-D F	4550.000000	5200.000000	yes	yes	yes
2	35	0	avgsvWM	Average Sound Velocity [Wilson, m/s]	Wilson, m/s	avgsv-W M	1400.000000	1600.000000	yes	yes	yes
2	19	0	avgsvWF	Average Sound Velocity [Wilson, ft/s]	Wilson, ft/s	avgsv-W F	4550.000000	5200.000000	yes	yes	yes
3	24	0	bat	Beam Attenuation, Chelsea/Seatech [1/m]	1/m	bat	0.000000	100.000000	yes	yes	yes
3	24	1	bat1	Beam Attenuation, Chelsea/Seatech, 2 [1/m]	1/m	bat2	0.000000	100.000000	yes	yes	yes
130	24	0	batdiff	Beam Attenuation, Chelsea/Seatech/WET Labs CStar, Diff, 2 - 1 [1/m]	1/m	batdiff	0.000000	100.000000	yes	yes	yes
4	24	0	wetBAttn	Beam Attenuation, WET Labs AC3 [1/m]	1/m	wetBAttn	0.000000	100.000000	yes	yes	yes
178	24	0	CStarAt0	Beam Attenuation, WET Labs C-Star [1/m]	1/m	CStarAt	0.000000	100.000000	yes	yes	yes
178	24	1	CStarAt1	Beam Attenuation, WET Labs C-Star, 2 [1/m]	1/m	CStarAt2	0.000000	100.000000	yes	yes	yes
